epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667849014417,2022-11-07T20.23.34.417,5.937,-0.462,0.079,1.564
1667849014436,2022-11-07T20.23.34.436,5.956,-0.262,-0.239,0.911
1667849014456,2022-11-07T20.23.34.456,5.976,-0.347,-0.209,0.800
1667849014475,2022-11-07T20.23.34.475,5.995,-0.502,-0.101,0.737
1667849014496,2022-11-07T20.23.34.496,6.016,-0.229,-0.132,0.930
1667849014515,2022-11-07T20.23.34.515,6.035,-0.225,-0.114,0.921
1667849014536,2022-11-07T20.23.34.536,6.056,-0.157,-0.095,1.006
1667849014555,2022-11-07T20.23.34.555,6.075,-0.299,-0.145,0.867
1667849014575,2022-11-07T20.23.34.575,6.095,-0.310,-0.154,0.945
1667849014594,2022-11-07T20.23.34.594,6.114,-0.179,-0.181,1.182
1667849014615,2022-11-07T20.23.34.615,6.135,-0.225,-0.191,1.161
1667849014635,2022-11-07T20.23.34.635,6.155,-0.279,-0.162,1.033
1667849014654,2022-11-07T20.23.34.654,6.174,-0.252,-0.044,0.995
1667849014675,2022-11-07T20.23.34.675,6.195,-0.131,-0.027,1.087
1667849014694,2022-11-07T20.23.34.694,6.214,-0.245,-0.176,0.988
1667849014714,2022-11-07T20.23.34.714,6.234,-0.437,-0.097,0.568
1667849014733,2022-11-07T20.23.34.733,6.253,-0.042,-0.039,0.960
1667849014754,2022-11-07T20.23.34.754,6.274,-0.105,-0.054,1.043
1667849014773,2022-11-07T20.23.34.773,6.293,-0.329,-0.078,0.829
1667849014793,2022-11-07T20.23.34.793,6.313,-0.239,-0.244,0.932
1667849014814,2022-11-07T20.23.34.814,6.334,-0.306,-0.374,0.952
1667849014833,2022-11-07T20.23.34.833,6.353,-0.298,-0.167,0.979
1667849014853,2022-11-07T20.23.34.853,6.373,-0.088,-0.015,1.062
1667849014872,2022-11-07T20.23.34.872,6.392,-0.104,-0.125,0.938
1667849014893,2022-11-07T20.23.34.893,6.413,-0.172,-0.197,1.011
1667849014912,2022-11-07T20.23.34.912,6.432,-0.198,-0.118,1.099
1667849014932,2022-11-07T20.23.34.932,6.452,-0.232,-0.061,0.896
1667849014952,2022-11-07T20.23.34.952,6.472,-0.291,-0.125,0.849
1667849014972,2022-11-07T20.23.34.972,6.492,-0.321,-0.172,0.951
1667849014993,2022-11-07T20.23.34.993,6.513,-0.188,-0.155,1.084
1667849015012,2022-11-07T20.23.35.012,6.532,-0.176,-0.227,1.014
1667849015032,2022-11-07T20.23.35.032,6.552,-0.191,-0.206,0.993
1667849015051,2022-11-07T20.23.35.051,6.571,-0.222,-0.148,0.975
1667849015072,2022-11-07T20.23.35.072,6.592,-0.129,-0.086,1.067
1667849015091,2022-11-07T20.23.35.091,6.611,-0.095,-0.151,0.950
1667849015111,2022-11-07T20.23.35.111,6.631,-0.153,-0.217,0.922
1667849015130,2022-11-07T20.23.35.130,6.650,-0.295,-0.118,0.946
1667849015151,2022-11-07T20.23.35.151,6.671,0.074,-0.002,1.438
1667849015171,2022-11-07T20.23.35.171,6.691,-0.285,-0.058,0.631
1667849015190,2022-11-07T20.23.35.190,6.710,-0.212,-0.178,0.743
1667849015211,2022-11-07T20.23.35.211,6.731,-0.049,-0.333,1.105
1667849015230,2022-11-07T20.23.35.230,6.750,-0.102,-0.099,1.143
1667849015250,2022-11-07T20.23.35.250,6.770,-0.218,-0.100,1.207
1667849015269,2022-11-07T20.23.35.269,6.789,0.000,-0.312,1.213
1667849015290,2022-11-07T20.23.35.290,6.810,0.049,-0.380,1.111
1667849015309,2022-11-07T20.23.35.309,6.829,-0.273,-0.174,0.868
1667849015329,2022-11-07T20.23.35.329,6.849,-0.126,-0.294,0.670
1667849015348,2022-11-07T20.23.35.348,6.868,-0.334,-0.190,1.029
1667849015369,2022-11-07T20.23.35.369,6.889,-0.373,-0.245,1.225
1667849015390,2022-11-07T20.23.35.390,6.910,-0.530,-0.067,1.144
1667849015409,2022-11-07T20.23.35.409,6.929,-0.547,0.074,1.073
1667849015429,2022-11-07T20.23.35.429,6.949,-0.393,-0.031,1.049
