"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.706294050E-1,3.025004625E0,1.364062071E0,-1.712255239E0
6.726130160E-1,2.911383867E0,1.313971162E0,-1.696983695E0
6.745966270E-1,2.688417912E0,1.206458807E0,-1.653001308E0
6.766107550E-1,2.469728231E0,1.085507512E0,-1.593136549E0
6.785943660E-1,2.364659309E0,1.018923283E0,-1.555873752E0
6.806084940E-1,2.174680233E0,8.827002645E-1,-1.472796082E0
6.825921040E-1,2.009746552E0,7.495316267E-1,-1.375668526E0
6.846062330E-1,1.940108061E0,6.798930168E-1,-1.323134065E0
6.865898430E-1,1.820989251E0,5.381723046E-1,-1.224784851E0
6.886039710E-1,1.733635545E0,4.111123085E-1,-1.137431145E0
6.906180990E-1,1.679268599E0,3.072652221E-1,-1.064738154E0
6.926017100E-1,1.664607763E0,2.736676335E-1,-1.036638379E0
6.945853210E-1,1.650557876E0,2.461786866E-1,-9.963212013E-1
6.965994490E-1,1.659720898E0,2.724458873E-1,-9.731083512E-1
6.985830590E-1,1.668883801E0,3.029891551E-1,-9.694431424E-1
7.006277040E-1,1.701870561E0,3.891211748E-1,-9.688322544E-1
7.025807980E-1,1.739744186E0,5.174028873E-1,-9.786061049E-1
7.045949260E-1,1.768454909E0,5.968153477E-1,-9.786061049E-1
7.065785370E-1,1.824043632E0,7.672467232E-1,-9.914342761E-1
7.085926650E-1,1.884519339E0,9.480628371E-1,-1.011592865E0
7.106067930E-1,1.917505980E0,1.039692640E0,-1.027475357E0
7.125904040E-1,1.980425119E0,1.211956620E0,-1.070235968E0
7.146045320E-1,2.042122602E0,1.370781660E0,-1.128878951E0
7.165881430E-1,2.071444035E0,1.444696307E0,-1.160643935E0
7.186022710E-1,2.125811100E0,1.572978020E0,-1.227228284E0
7.205858810E-1,2.169182539E0,1.666440368E0,-1.298088670E0
7.226000090E-1,2.203390837E0,1.728748679E0,-1.368338108E0
7.245836200E-1,2.219273329E0,1.751350641E0,-1.403157473E0
7.265977480E-1,2.251038313E0,1.782504797E0,-1.460578799E0
7.285813590E-1,2.279749155E0,1.798998117E0,-1.508837104E0
7.305954870E-1,2.295631647E0,1.800219893E0,-1.530828357E0
7.325790970E-1,2.329229116E0,1.799609065E0,-1.568701982E0
7.345932260E-1,2.368324518E0,1.784948230E0,-1.595579982E0
7.365768360E-1,2.388483047E0,1.770898342E0,-1.608408213E0
7.385909640E-1,2.435519695E0,1.729359508E0,-1.627344966E0
7.406050910E-1,2.486832380E0,1.673159957E0,-1.631010175E0
7.425887030E-1,2.511877775E0,1.636507988E0,-1.629177570E0
7.445723140E-1,2.566244841E0,1.556484699E0,-1.610240817E0
7.465864420E-1,2.619390249E0,1.456302762E0,-1.570534587E0
7.485700520E-1,2.645046473E0,1.397048831E0,-1.545489073E0
7.505841810E-1,2.694526672E0,1.254717231E0,-1.489900351E0
7.525677910E-1,2.736065388E0,1.089783549E0,-1.426981211E0
7.545819190E-1,2.758667469E0,1.002429843E0,-1.398270488E0
7.565655300E-1,2.796540976E0,8.136724830E-1,-1.345736146E0
7.585796580E-1,2.831360340E0,6.212499738E-1,-1.301753879E0
7.605632690E-1,2.855794907E0,4.282165468E-1,-1.265712738E0
7.625773970E-1,2.866790533E0,3.378084898E-1,-1.252884626E0
7.645610070E-1,2.874731779E0,1.667662114E-1,-1.224784851E0
7.665751350E-1,2.868623257E0,2.748893574E-2,-1.199128509E0
7.685587460E-1,2.860071182E0,-3.115412779E-2,-1.185689449E0
7.705728740E-1,2.837469101E0,-1.093448773E-1,-1.153924465E0
7.725564850E-1,2.792876005E0,-1.447750628E-1,-1.129489779E0
7.745706130E-1,2.770273924E0,-1.447750628E-1,-1.120937705E0
7.765542240E-1,2.709798336E0,-1.062905490E-1,-1.104444385E0
7.785683520E-1,2.632829189E0,-2.748893574E-2,-1.089783549E0
7.805824800E-1,2.590679407E0,2.687807009E-2,-1.079398870E0
7.825660900E-1,2.497217178E0,1.521054506E-1,-1.061072946E0
7.845497010E-1,2.392759085E0,2.877175212E-1,-1.037860036E0
